iter,loss,event_time,event_times
168,0.01066497545395131,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
169,0.01066497545380884,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
170,0.010664975453591345,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
171,0.010664975453473075,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
172,0.01066497545351193,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
173,0.010664975453623078,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
174,0.01066497545367571,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
175,0.01066497545361295,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
176,0.01066497545348892,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
177,0.010664975453402956,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
178,0.010664975453406183,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
179,0.010664975453467137,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
180,0.010664975453513796,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
181,0.010664975453501696,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
182,0.010664975453446586,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
183,0.010664975453399977,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
184,0.010664975453397568,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
185,0.010664975453430427,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
